Categoria: Tutte le categorie

Settimana,lol Graves: (Tutto il mondo),lol Twisted Fate: (Tutto il mondo)
2021-12-26,35,20
2022-01-02,71,31
2022-01-09,46,22
2022-01-16,56,27
2022-01-23,54,28
2022-01-30,55,30
2022-02-06,51,22
2022-02-13,51,20
2022-02-20,49,18
2022-02-27,42,14
2022-03-06,41,15
2022-03-13,39,17
2022-03-20,37,15
2022-03-27,35,15
2022-04-03,30,18
2022-04-10,40,12
2022-04-17,46,19
2022-04-24,50,13
2022-05-01,40,19
2022-05-08,70,34
2022-05-15,86,24
2022-05-22,52,21
2022-05-29,100,32
2022-06-05,62,29
2022-06-12,47,18
2022-06-19,51,21
2022-06-26,38,17
2022-07-03,29,19
2022-07-10,37,19
2022-07-17,31,18
2022-07-24,31,18
2022-07-31,37,11
2022-08-07,38,16
2022-08-14,28,14
2022-08-21,35,24
2022-08-28,42,17
2022-09-04,31,6
2022-09-11,34,23
2022-09-18,39,13
2022-09-25,46,22
2022-10-02,44,17
2022-10-09,45,14
2022-10-16,49,18
2022-10-23,43,15
2022-10-30,40,18
2022-11-06,49,14
2022-11-13,40,22
2022-11-20,34,13
2022-11-27,37,13
2022-12-04,28,10
2022-12-11,34,14
2022-12-18,27,14
2022-12-25,29,15
